smiles,scaffold,logP,tPSA,QED
Cc1noc(C)c1C(=O)Nc1nonc1-c1ccccc1,O=C(Nc1nonc1-c1ccccc1)c1cnoc1,2.59374,94.05,0.794006897
N#Cc1coc(NC(=O)c2ccccc2Br)c1N,O=C(Nc1ccco1)c1ccccc1,2.74828,92.05,0.891977249
Cc1noc(C)c1C(=O)Nc1ccc(-c2nnco2)cc1,O=C(Nc1ccc(-c2nnco2)cc1)c1cnoc1,2.59374,94.05,0.794006897
CCCCOc1ccccc1NC(=O)c1cnc(N)nc1,O=C(Nc1ccccc1)c1cncnc1,2.49,90.13,0.796134655
NC(=O)c1ccc(CNC(=O)Nc2nc(C3CC3)cs2)cc1,O=C(NCc1ccccc1)Nc1nc(C2CC2)cs1,2.4411,97.11,0.789997237
NC(=O)c1ccc(NC(=O)c2cc(-c3ccc(F)cc3)on2)cc1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)on1,2.8319,98.22,0.77030969
CCC(C)NC(=O)c1coc(NC(=O)c2ccc(OC)cc2OC)n1,O=C(Nc1ncco1)c1ccccc1,2.4724,102.69,0.79748665
CCC(=O)Nc1ccc(NC(=O)Nc2ccon2)cc1,O=C(Nc1ccccc1)Nc1ccon1,2.6671,96.26,0.798102394
CC(C)C(NC(N)=O)C(=O)Nc1ccc(Cl)cc1Cl,c1ccccc1,2.6248,84.22,0.798583826
COc1cccc(NC(=O)CSc2nnc(N)n2C2CCCC2)c1,O=C(CSc1nncn1C1CCCC1)Nc1ccccc1,2.7148,95.06,0.780267224
CCOc1ccccc1NC(=O)CSc1ncc(N)cc1N,O=C(CSc1ccccn1)Nc1ccccc1,2.3755,103.26,0.70655409
COC(=O)c1cc(NC(=O)c2cc(C)nc(C)c2Cl)[nH]n1,O=C(Nc1ccn[nH]1)c1ccncc1,2.11384,96.97,0.84643082
Cc1cccc(NC(=O)c2onc(-c3ccncc3)c2N)c1,O=C(Nc1ccccc1)c1cc(-c2ccncc2)no1,2.87952,94.04,0.774233927
CCCNC(=O)Nc1ccc(OC(C)C)c2nonc12,c1ccc2nonc2c1,2.5415,89.28,0.876854908
CC(=O)Nc1ccc(C(=O)OCC(=O)Nc2ccc(C)cc2C)cn1,O=C(COC(=O)c1cccnc1)Nc1ccccc1,2.45234,97.39,0.814271657
Cc1cc(NC(=O)c2cc3c([nH]c2=O)CC(C)(C)CC3=O)no1,O=C1CCCc2[nH]c(=O)c(C(=O)Nc3ccon3)cc21,2.07872,105.06,0.882393211
CCOC(=O)c1ccc(NC(=O)c2ccc(NC(C)=O)nc2)cc1,O=C(Nc1ccccc1)c1cccnc1,2.469,97.39,0.822248465
CCCc1ccc(NC(=O)Nc2c[nH]c(=O)cc2C#N)cc1,O=C(Nc1ccccc1)Nc1ccc(=O)[nH]c1,2.84308,97.78,0.808710908
CC(=O)Nc1cccc(NC(=O)c2nc(C(C)=O)oc2C)c1,O=C(Nc1ccccc1)c1cocn1,2.39632,101.3,0.844268778
CCOC(=O)c1noc(C)c1COc1ccc(C#N)cc1OC,c1ccc(OCc2cnoc2)cc1,2.619,94.58,0.755832323
Cc1ccc(-c2nc(N)nc(C)c2C(=O)OC(C)C)cc1O,c1ccc(-c2ccncn2)cc1,2.61344,98.33,0.845523477
Cc1ccc(O)c(NC(=O)CCCc2nc(C(C)C)no2)n1,O=C(CCCc1ncno1)Nc1ccccn1,2.56342,101.14,0.850165395
CCCOc1ccc(Nc2ncnc(N)c2C#N)cc1,c1ccc(Nc2ccncn2)cc1,2.46288,96.85,0.864973596
CCOc1ccc(C(=O)Nc2sc(C)c(C)c2C(N)=O)cn1,O=C(Nc1cccs1)c1cccnc1,2.50984,94.31,0.88502203
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc2nnnn2n1,O=C(Nc1ccccc1)Nc1ccc2nnnn2n1,2.4701,97.1,0.754593237
Cc1cc(Cl)ccc1NC(=O)c1csc(NC(N)=O)n1,O=C(Nc1ccccc1)c1cscn1,2.84782,97.11,0.812744989
CCCCN(Cc1cccnc1)C(=O)Nc1ccc(C#N)nn1,O=C(NCc1cccnc1)Nc1cccnn1,2.57748,94.8,0.88445076
CCSc1ncc(C(=O)Nc2cc(Cl)ccc2C(N)=O)o1,O=C(Nc1ccccc1)c1cnco1,2.7912,98.22,0.823534916
Cc1cc(NC(=O)c2ccc(CNC(=O)c3ccno3)cc2)ccn1,O=C(Nc1ccncc1)c1ccc(CNC(=O)c2ccno2)cc1,2.56032,97.12,0.746146715
CC(=O)Nc1cc(NC(=O)c2ccc(Cl)cn2)ccc1N,O=C(Nc1ccccc1)c1ccccn1,2.5279,97.11,0.75898154
COc1ccc(Cc2nc(C#N)c(NCCC#N)o2)cc1,c1ccc(Cc2ncco2)cc1,2.47126,94.87,0.817651647
CCOc1ccc(NC(=O)Nc2ccc(OCC(N)=O)cc2)cc1,O=C(Nc1ccccc1)Nc1ccccc1,2.5934,102.68,0.726182862
CCCNc1ncnc(Nc2cc(F)ccc2C#N)c1N,c1ccc(Nc2ccncn2)cc1,2.63508,99.65,0.780975599
Cc1ccccc1Nc1nonc1NCCCC#N,c1ccc(Nc2cnon2)cc1,2.8373,86.77,0.773639364
COc1ccc(NC(=O)Nc2ccc(C(C)=O)o2)cn1,O=C(Nc1cccnc1)Nc1ccco1,2.5298,93.46,0.83610713
CCOc1ccc(NC(=O)CSc2ncc(C#N)cn2)cc1O,O=C(CSc1ncccn1)Nc1ccccc1,2.18338,108.13,0.617022578
NC(=O)c1ccc(NC(=O)Nc2ccccc2Cl)nc1,O=C(Nc1ccccc1)Nc1ccccn1,2.4779,97.11,0.809753342
CC(Oc1ccccc1)C(=O)Nc1ccc(S(N)(=O)=O)c(Cl)c1,O=C(COc1ccccc1)Nc1ccccc1,2.3934,98.49,0.860737673
COc1ccc(NC(=O)Nc2c[nH]nc2N)c(Cl)c1,O=C(Nc1ccccc1)Nc1cn[nH]c1,2.2979,105.06,0.692502894
CC(C(=O)Nc1nncs1)c1ccc(NC(=O)NC2CC2)cc1,O=C(Cc1ccc(NC(=O)NC2CC2)cc1)Nc1nncs1,2.5642,96.01,0.784335817
CC(=O)c1ccc(NC(=O)COc2ccc(C(N)=O)cc2)cc1C,O=C(COc1ccccc1)Nc1ccccc1,2.31402,98.49,0.795808237
Cc1noc(C)c1NC(=O)c1ccc(-c2ccno2)o1,O=C(Nc1cnoc1)c1ccc(-c2ccno2)o1,2.79174,94.3,0.788017698
CCN(CC(C)C#N)C(=O)CSc1nc(-c2ccc(C)cc2)n[nH]1,c1ccc(-c2nc[nH]n2)cc1,2.8804,85.67,0.781337922
N#Cc1ccc(NC(=O)CCC(=O)Nc2cccnc2)cc1F,O=C(CCC(=O)Nc1cccnc1)Nc1ccccc1,2.44978,94.88,0.886202389
Cc1cc2c(NC(=O)c3ccc(C#N)cn3)cccc2oc1=O,O=C(Nc1cccc2oc(=O)ccc12)c1ccccn1,2.6204,95.99,0.734084548
Cc1cc(OCC(=O)Nc2ccccc2C(=O)OC(C)C)no1,O=C(COc1ccon1)Nc1ccccc1,2.56572,90.66,0.823184747
COC(=O)c1sc(NC(=O)Nc2cc(C)on2)nc1C,O=C(Nc1ccon1)Nc1nccs1,2.17854,106.35,0.840676507
COC(=O)c1nsc(C(=O)OC(C)c2ccc3c(c2)OCO3)c1N,O=C(OCc1ccc2c(c1)OCO2)c1ccns1,2.1586,109.97,0.835385641
CCOC(=O)c1nc(NC(=O)c2ccc(OCC)cc2)ncc1Cl,O=C(Nc1ncccn1)c1ccccc1,2.9577,90.41,0.806162132
CCOC(=O)c1nonc1Nc1cc(Br)ccc1O,c1ccc(Nc2cnon2)cc1,2.458,97.48,0.657006397
COc1ccc(NC(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1C,O=C(NCc1ccccc1)Nc1ccccc1,1.97272,110.52,0.766162236
CCCc1noc(CCCC(=O)Nc2cc(C)nn2C(C)=O)c1C,O=C(CCCc1ccno1)Nc1ccn[nH]1,3.06194,90.02,0.841297753
CC(=O)Nc1ccc(C(=O)Nc2ccc(C(N)=O)cc2C)cc1,O=C(Nc1ccccc1)c1ccccc1,2.30462,101.29,0.807115377
COC(=O)c1ccc(NC(=O)c2ccc(NC(N)=O)s2)cc1,O=C(Nc1ccccc1)c1cccs1,2.2776,110.52,0.750644489
N#Cc1ccc(NS(=O)(=O)c2ccccc2N)cc1,O=S(=O)(Nc1ccccc1)c1ccccc1,1.94128,95.98,0.835143814
COc1ccccc1NC(=O)Nc1sccc1C#N,O=C(Nc1ccccc1)Nc1cccs1,3.27238,74.15,0.900843291
NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cl)cc2Cl)cn1,O=C(Nc1cccnc1)c1ccccc1,2.2881,102.15,0.889997397
COc1ccc(F)cc1NC(=O)CSc1nnc(C2CC2)o1,O=C(CSc1nnc(C2CC2)o1)Nc1ccccc1,2.8255,77.25,0.82378541
NC(=O)c1ccc(NC(=O)CCC(=O)Nc2cccc(F)c2)cc1,O=C(CCC(=O)Nc1ccccc1)Nc1ccccc1,2.282,101.29,0.757507877
Cc1nc(-c2ccc(NC(=O)N3CCCC3c3cnn(C)c3)o2)no1,O=C(Nc1ccc(-c2ncon2)o1)N1CCCC1c1cn[nH]c1,2.74052,102.22,0.784964145
N#Cc1ccccc1NC(=O)CSc1nnnn1C1CCCC1,O=C(CSc1nnnn1C1CCCC1)Nc1ccccc1,2.39068,96.49,0.846561445
CCCN(C)C(=O)Nc1ccccc1C(=O)Nc1nc(C)no1,O=C(Nc1ncno1)c1ccccc1,2.50402,100.36,0.882152114
NC(=O)c1cnc(NC(=O)c2cc(Cl)ccc2Cl)o1,O=C(Nc1ncco1)c1ccccc1,2.3326,98.22,0.908414442
CC(=O)Nc1ccc(C(=O)Nc2ccccc2C(N)=O)cc1C,O=C(Nc1ccccc1)c1ccccc1,2.30462,101.29,0.807115377
COC(=O)Nc1cc(NC(=O)c2ccccc2N)ccc1OC,O=C(Nc1ccccc1)c1ccccc1,2.708,102.68,0.752768284
COC(=O)c1ccc(NC(=O)COc2ccc(C#N)cc2OC)cc1,O=C(COc1ccccc1)Nc1ccccc1,2.37098,97.65,0.810871151
CCCS(=O)(=O)Nc1ccccc1NC(=O)c1ccon1,O=C(Nc1ccccc1)c1ccon1,2.0786,101.3,0.850347637
CCc1noc(CC)c1CC(=O)Nc1n[nH]c(CC)c1C(C)=O,O=C(Cc1cnoc1)Nc1cc[nH]n1,2.4687,100.88,0.763697069
CC(=O)c1ccc(NC(=O)c2ccc(Cl)c(C(N)=O)c2)nc1,O=C(Nc1ccccn1)c1ccccc1,2.2888,102.15,0.844346207
N#Cc1ccsc1NC(=O)CSc1nc(=O)[nH]c2c1CCCC2,O=C(CSc1nc(=O)[nH]c2c1CCCC2)Nc1cccs1,2.31268,98.64,0.65370528
COC(=O)c1ccc(NC(=O)COC(=O)c2cc(C)oc2C)cc1F,O=C(COC(=O)c1ccoc1)Nc1ccccc1,2.61764,94.84,0.833985909
Cc1noc(C)c1NC(=O)CSc1nnc(NC(C)C)s1,O=C(CSc1nncs1)Nc1cnoc1,2.69404,92.94,0.787850064
CC(C)CCNC(=O)c1onc(-c2ccccc2O)c1N,c1ccc(-c2ccon2)cc1,2.4053,101.38,0.78420346
COC(=O)c1ccc(C(=O)Nc2ccc3c(c2)OCC(=O)N3)cc1Cl,O=C1COc2cc(NC(=O)c3ccccc3)ccc2N1,2.7098,93.73,0.820696095
Cc1ccc(C(=O)Nc2nnc(-c3ccoc3C)o2)o1,O=C(Nc1nnc(-c2ccoc2)o1)c1ccco1,2.79174,94.3,0.788017698
CC(=O)Nc1ccc(NC(=O)c2cnc(C3CCCO3)s2)nc1,O=C(Nc1ccccn1)c1cnc(C2CCCO2)s1,2.6003,93.21,0.897457116
COc1ccc(-c2nnc(NC(=O)c3cc(C)no3)o2)cc1,O=C(Nc1nnc(-c2ccccc2)o1)c1ccno1,2.29392,103.28,0.78788868
Nc1nonc1SCC(=O)Nc1ccccc1Br,O=C(CSc1cnon1)Nc1ccccc1,2.1451,94.04,0.834894548
N#Cc1ccccc1NC(=O)CSc1nnnn1C1CCCC1,O=C(CSc1nnnn1C1CCCC1)Nc1ccccc1,2.39068,96.49,0.846561445
CCc1cc(COC(=O)c2ccccc2NC(=O)CC#N)on1,O=C(OCc1ccno1)c1ccccc1,2.44618,105.22,0.821104415
CNC(=O)c1cccc(NC(=O)Nc2c(C)noc2C)c1,O=C(Nc1ccccc1)Nc1cnoc1,2.29504,96.26,0.806973915
O=C1NCCN1C(=O)Nc1c(-c2ccco2)noc1-c1ccccc1,O=C1NCCN1C(=O)Nc1c(-c2ccco2)noc1-c1ccccc1,3.1587,100.61,0.763795211
O=C(CCNS(=O)(=O)c1ccc(Cl)cc1)Nc1ccccc1O,O=C(CCNS(=O)(=O)c1ccccc1)Nc1ccccc1,2.3527,95.5,0.693739315
COC(=O)Nc1ccc(NC(=O)NCCC#N)cc1Cl,c1ccccc1,2.55348,103.25,0.742735936
CC(=O)Nc1ccc(NC(=O)Nc2cnoc2C)cc1,O=C(Nc1ccccc1)Nc1cnoc1,2.58542,96.26,0.801012951
COC(=O)c1ccccc1NC(=O)COc1ccc(C#N)cc1OC,O=C(COc1ccccc1)Nc1ccccc1,2.37098,97.65,0.810871151
COC(=O)c1cc2c([nH]c(=O)c3c(C)oc(C)c32)c(OC)c1O,O=c1[nH]c2ccccc2c2cocc12,2.39194,101.76,0.703674224
Cc1ccc(N=C(N)CCC#N)cc1NCCC#N,c1ccccc1,2.61308,97.99,0.463440886
CCOC(=O)c1sc(Nc2ccc(C#N)cc2)nc1N,c1ccc(Nc2nccs2)cc1,2.51728,101.03,0.838192918
CCCCc1nc(C(=O)Nc2sccc2C(N)=O)co1,O=C(Nc1cccs1)c1cocn1,2.4299,98.22,0.854096132
CCn1nc(C(=O)Nc2ccncc2)cc1COc1c(C)noc1C,O=C(Nc1ccncc1)c1cc(COc2cnoc2)[nH]n1,2.73414,95.07,0.740549397
CCOC(=O)c1ccc(NCC(=O)Nc2cc(C)on2)cc1Cl,O=C(CNc1ccccc1)Nc1ccon1,2.86372,93.46,0.787149324
Cc1ccc(C(=O)Nc2ccc(F)cc2NC(=O)NC(C)C)nn1,O=C(Nc1ccccc1)c1cccnn1,2.70632,96.01,0.802391172
CCC(C)NC(=O)c1ccc(S(=O)(=O)Nc2ccon2)cc1,O=S(=O)(Nc1ccon1)c1ccccc1,2.0037,101.3,0.846439273
COc1cccc(NC(=O)COc2ccc(Cl)cc2C(N)=O)c1OC,O=C(COc1ccccc1)Nc1ccccc1,2.4736,99.88,0.785720479
COc1ccc(S(=O)(=O)Nc2nnc(-c3ccoc3)s2)cc1,O=S(=O)(Nc1nnc(-c2ccoc2)s1)c1ccccc1,2.6075,94.32,0.768860475
COc1ccc(NC(=O)Oc2ccccc2C(N)=O)c(OC)c1,O=C(Nc1ccccc1)Oc1ccccc1,2.4136,99.88,0.882052061
CCC(=O)Nc1cccc(NC(=O)c2ccc(C(N)=O)cc2)c1,O=C(Nc1ccccc1)c1ccccc1,2.3863,101.29,0.789776722
CC(C)(C)C(NC(=O)NCc1nc(-c2ccncc2)n[nH]1)C1CCCO1,O=C(NCc1nc(-c2ccncc2)n[nH]1)NCC1CCCO1,2.2596,104.82,0.76028972
CC(C)Oc1ccccc1NC(=O)NCc1nc(C2CC2)no1,O=C(NCc1nc(C2CC2)no1)Nc1ccccc1,3.0559,89.28,0.85465538
CCc1nc(CNc2ncnc(OCCCC#N)c2C)co1,c1cc(NCc2cocn2)ncn1,2.6301,96.86,0.748340643
CCCCC(=O)Nc1cc2c(N)nc(C#N)cc2s1,c1cc2sccc2cn1,2.87888,91.8,0.896236426
Cc1cc(NC(=O)NCc2cccc(S(C)(=O)=O)c2)ncc1Cl,O=C(NCc1ccccc1)Nc1ccccn1,2.76862,88.16,0.884157845
COc1ccc(NC(=O)OCc2nc(C(C)=O)cs2)cc1O,O=C(Nc1ccccc1)OCc1nccs1,2.8086,97.75,0.821485752
CCOC(=O)C1(NC(=O)Nc2ccc(C(N)=O)cc2)CCCC1,O=C(Nc1ccccc1)NC1CCCC1,1.7829,110.52,0.718335245
N#Cc1cccc(NC(=O)CNc2ccc(NC(=O)C3CC3)cc2)c1,O=C(CNc1ccc(NC(=O)C2CC2)cc1)Nc1ccccc1,2.95738,94.02,0.756838279
Cc1oc(COC(=O)CCC(=O)c2ccccc2)nc1C#N,O=C(CCC(=O)c1ccccc1)OCc1ncco1,2.561,93.19,0.600696243
CCOC(=O)c1sc2ncnc(NCCC#N)c2c1C,c1ncc2ccsc2n1,2.502,87.9,0.672071906
COc1ccc(Cl)cc1NC(=O)CSc1n[nH]c(N)c1C,O=C(CSc1cc[nH]n1)Nc1ccccc1,2.69312,93.03,0.73449564
Cc1ccc(NC(=O)Nc2ccc3c(c2)OCO3)cc1-n1nnnc1C,O=C(Nc1cccc(-n2cnnn2)c1)Nc1ccc2c(c1)OCO2,2.65184,103.19,0.751033026
COC(=O)c1ccccc1NC(=O)CSc1ccncc1N,O=C(CSc1ccncc1)Nc1ccccc1,2.1812,94.31,0.648203769
Cc1ccc(-c2noc(C(=O)Nc3cc(C)on3)n2)cc1,O=C(Nc1ccon1)c1nc(-c2ccccc2)no1,2.59374,94.05,0.794006897
CC(NC(=O)Nc1ccccn1)C(=O)Nc1ccc2c(c1)OCCCO2,O=C(CNC(=O)Nc1ccccn1)Nc1ccc2c(c1)OCCCO2,2.3916,101.58,0.780717325
Cc1ccccc1NC(=O)CSc1ncc(C#N)cc1N,O=C(CSc1ccccn1)Nc1ccccc1,2.5747,91.8,0.846362839
COC(=O)Nc1ccc(OCC(=O)Nc2cccc(O)c2)cc1,O=C(COc1ccccc1)Nc1ccccc1,2.588,96.89,0.78753473
Cc1noc(NCc2ncc(C(C)N)c(OCC(C)C)n2)c1C,c1cnc(CNc2ccno2)nc1,2.74804,99.09,0.809086084
Cc1ccc(C(=O)Nc2cc(C)on2)c(SCC(N)=O)c1,O=C(Nc1ccon1)c1ccccc1,2.12114,98.22,0.824450791
Cc1ccc(S(=O)(=O)Nc2ccc(NC(N)=O)cc2)cc1C,O=S(=O)(Nc1ccccc1)c1ccccc1,2.59484,101.29,0.80692361
COC(=O)c1ccc(NC(=O)Nc2cc(OC)nc(OC)c2)cc1,O=C(Nc1ccccc1)Nc1ccncc1,2.5294,98.78,0.816964773
O=C(Cc1nnc(-c2ccco2)o1)Nc1cccc2c1OCCO2,O=C(Cc1nnc(-c2ccco2)o1)Nc1cccc2c1OCCO2,2.282,99.62,0.784349592
CCCC(NC(=O)Nc1ccncc1C#N)c1ncc[nH]1,O=C(NCc1ncc[nH]1)Nc1ccncc1,2.33928,106.49,0.782863904
COC(=O)c1ccc(N)cc1NC(=O)COc1ccc(Cl)cc1,O=C(COc1ccccc1)Nc1ccccc1,2.7263,90.65,0.647770873
CC(=O)Nc1cccc(NC(=O)CCC(=O)Nc2nccs2)c1,O=C(CCC(=O)Nc1nccs1)Nc1ccccc1,2.4589,100.19,0.756212192
Cc1ccc(NC(=O)c2ccc(Cl)c(NC(N)=O)c2)nc1,O=C(Nc1ccccn1)c1ccccc1,2.78632,97.11,0.812963076
CC(=O)Nc1ccc(NC(=O)CCc2nc(C3CC3)no2)c(F)c1,O=C(CCc1nc(C2CC2)no1)Nc1ccccc1,2.6158,97.12,0.847299237
Cc1ccc(C(=O)Nc2ccc(OCC(N)=O)cc2)c(C)c1O,O=C(Nc1ccccc1)c1ccccc1,2.12544,101.65,0.786422887
Cc1ccc(-c2nnc(SCC(=O)Nc3ccon3)o2)cc1,O=C(CSc1nnc(-c2ccccc2)o1)Nc1ccon1,2.76382,94.05,0.723122847
Cc1ccc(C(=O)Nc2ccc(C(N)=O)c(Cl)c2)c(O)c1,O=C(Nc1ccccc1)c1ccccc1,2.70522,92.42,0.813671922
CCOc1ccccc1C(=O)Nc1nnc(-c2ccno2)s1,O=C(Nc1nnc(-c2ccno2)s1)c1ccccc1,2.8441,90.14,0.77812622
NC(=O)c1ccc(-n2c(CO)nnc2SC2CCCCC2)cc1Cl,c1ccc(-n2cnnc2SC2CCCCC2)cc1,2.9367,94.03,0.847932399
Cn1c(=O)oc2cc(NC(=O)c3ccc(NC(=O)C4CC4)s3)ccc21,O=C(Nc1ccc2[nH]c(=O)oc2c1)c1ccc(NC(=O)C2CC2)s1,2.7938,93.34,0.750733454
NC(=O)c1ccc(NC(=O)Nc2ccccc2)cc1Cl,O=C(Nc1ccccc1)Nc1ccccc1,3.0829,84.22,0.810995656
CCCCNC(=O)Nc1onc(C#N)c1Br,c1cnoc1,2.23038,90.95,0.830598718
N#Cc1c(N)noc1-c1ccc(Br)cc1Cl,c1ccc(-c2ccno2)cc1,3.21138,75.84,0.87676663
Cc1noc(C)c1C(=O)Nc1nnc(-c2ccoc2C)s1,O=C(Nc1nnc(-c2ccoc2)s1)c1cnoc1,2.96366,94.05,0.799089378
COC(=O)c1ccc(C(=O)Nc2ccccc2SCC(N)=O)s1,O=C(Nc1ccccc1)c1cccs1,2.3644,98.49,0.615454583
CC(C)NC(=O)c1cnc(NC(=O)Nc2ccc3c(c2)COC3)s1,O=C(Nc1ccc2c(c1)COC2)Nc1nccs1,2.9555,92.35,0.793455014
COc1ccc(NC(=O)CNc2ccc(C#N)cc2)cc1N,O=C(CNc1ccccc1)Nc1ccccc1,2.19968,100.17,0.734358915
NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,O=C(Nc1ccccc1)Nc1ccccc1,2.6314,101.29,0.808013738
Cc1nonc1NC(=O)c1csc(NC(=O)CC(C)C)n1,O=C(Nc1cnon1)c1cscn1,2.07142,110.01,0.874508094
COC(=O)c1ccoc1Nc1cc(Cl)cnc1N,c1cncc(Nc2ccco2)c1,2.4404,90.38,0.830267861
Cc1noc(C)c1CCC(=O)Nc1ccc(Cl)cc1NCCO,O=C(CCc1cnoc1)Nc1ccccc1,2.92034,87.39,0.72272478
CCCCc1nnc(NC(=O)Nc2cccc(O)c2)o1,O=C(Nc1ccccc1)Nc1nnco1,2.7618,100.28,0.779197558
NC(=O)Nc1cccc(C(=O)Nc2cc(Cl)ccn2)c1,O=C(Nc1ccccn1)c1ccccc1,2.4779,97.11,0.809753342
Cc1ccc(OC(C)C)c(NC(=O)c2n[nH]c(=O)c3cccnc23)c1,O=C(Nc1ccccc1)c1n[nH]c(=O)c2cccnc12,2.66602,96.97,0.762109501
Nc1nonc1C(=O)Nc1ccccc1OC1CCCC1,O=C(Nc1ccccc1OC1CCCC1)c1cnon1,2.2255,103.27,0.893707319
Cc1ccc(C(=O)Nc2ccc(OCc3ccccc3)nc2)c(N)n1,O=C(Nc1ccc(OCc2ccccc2)nc1)c1cccnc1,3.19852,90.13,0.747615683
COC(=O)c1ccc(NC(=O)NCc2c(C)noc2C)cc1C,O=C(NCc1cnoc1)Nc1ccccc1,2.70816,93.46,0.845670433
N#Cc1ccc(NC(=O)CCSc2ncccc2N)cc1,O=C(CCSc1ccccn1)Nc1ccccc1,2.65638,91.8,0.827896213
Cc1noc(C)c1S(=O)(=O)Nc1ccc2oc(=O)ccc2c1,O=c1ccc2cc(NS(=O)(=O)c3cnoc3)ccc2o1,2.19864,102.41,0.742143201
Cc1ccc(NC(=O)C2CC3CCC2(NC(N)=O)C3)c(Cl)c1,O=C(Nc1ccccc1)C1CC2CCC1C2,2.81402,84.22,0.799431842
COc1ccc(OC)c(NC(=O)CSc2nc(C)ccc2C#N)n1,O=C(CSc1ccccn1)Nc1ccccn1,2.4047,97.13,0.80361281
CCOC(=O)c1cc(NC(=O)Nc2ccccc2)on1,O=C(Nc1ccccc1)Nc1ccno1,2.4953,93.46,0.835969229
CCOC(=O)CCc1nnc(NC(=O)Nc2ccccc2)s1,O=C(Nc1ccccc1)Nc1nncs1,2.6778,93.21,0.798193377
NC(=O)Nc1ccccc1OC(=O)Nc1ccccc1,O=C(Nc1ccccc1)Oc1ccccc1,2.7881,93.45,0.800784181
Cc1ccc(C)c(NC(=O)CSc2ncc(C#N)c(N)n2)c1,O=C(CSc1ncccn1)Nc1ccccc1,2.27812,104.69,0.662499201
